Set	Organism	Sample	Type of read	Length of raw read	Number of raw reads	Number of high quality reads	Number of mapped reads	Alignment rate
CaCM334_Pc	Capsicum annuum "CM334"	Pc_0h-3	PE	151	12565978	11634584	4882252	83.93
CaCM334_Pc	Capsicum annuum "CM334"	Pc_12h-1	PE	151	16486052	15504678	7111543	91.73
CaCM334_Pc	Capsicum annuum "CM334"	Pc_12h-2	PE	151	7886626	7788978	3713822	95.36
CaCM334_Pc	Capsicum annuum "CM334"	Pc-12h-3	PE	151	8028460	7929806	3775088	95.21
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1D-1	PE	151	8939922	8827790	4170741	94.49
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1D-2	PE	151	6042784	5963818	2814667	94.39
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1D-3	PE	151	6343010	6235740	2942348	94.37
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1h-1	PE	151	9942444	9287058	3966740	85.43
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1h-2	PE	151	14074728	13161204	5655938	85.95
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1h-3	PE	151	13120344	12243124	5230432	85.44
CaCM334_Pc	Capsicum annuum "CM334"	Pc_2h-1	PE	151	15949586	14933234	6729344	90.13
CaCM334_Pc	Capsicum annuum "CM334"	Pc_2h-2	PE	151	13582290	12695164	5515286	86.89
CaCM334_Pc	Capsicum annuum "CM334"	Pc_2h-3	PE	151	11258418	10612270	4805950	90.57
CaCM334_Pc	Capsicum annuum "CM334"	Pc_4h-1	PE	151	13493556	12839824	5888299	91.72
CaCM334_Pc	Capsicum annuum "CM334"	Pc_4h-2	PE	151	16035498	15008560	6836596	91.1
CaCM334_Pc	Capsicum annuum "CM334"	Pc_4h-3	PE	151	15250942	14456822	6629652	91.72
CaCM334_Pc	Capsicum annuum "CM334"	Pc_6h-1	PE	151	14309524	13503768	6185518	91.61
CaCM334_Pc	Capsicum annuum "CM334"	Pc_6h-2	PE	151	14264884	13490462	6203864	91.97
CaCM334_Pc	Capsicum annuum "CM334"	Pc_6h-3	PE	151	14126962	13234972	6063861	91.63
CaCM334_Pc	Capsicum annuum "CM334"	TDW_12h-1	PE	151	3322510	3281530	1530454	93.28
CaCM334_Pc	Capsicum annuum "CM334"	TDW_12h-2	PE	151	3543424	3487246	1631793	93.59
CaCM334_Pc	Capsicum annuum "CM334"	TDW_12h-3	PE	151	2659256	2612580	1202733	92.07
CaCM334_Pc	Capsicum annuum "CM334"	TDW_1D-1	PE	151	5268656	5146012	2352729	91.44
CaCM334_Pc	Capsicum annuum "CM334"	TDW_1D-2	PE	151	5688524	5554364	2533390	91.22
CaCM334_Pc	Capsicum annuum "CM334"	TDW_1D-3	PE	151	4968344	4812288	2148962	89.31
CaCM334_Pc	Capsicum annuum "CM334"	TDW_1h-1	PE	151	7515280	7339528	3195073	87.06
CaCM334_Pc	Capsicum annuum "CM334"	TDW_1h-2	PE	151	7615816	7432138	3193461	85.94
CaCM334_Pc	Capsicum annuum "CM334"	TDW_1h-3	PE	151	8068880	7883206	3384961	85.88
CaCM334_Pc	Capsicum annuum "CM334"	TDW_2h-1	PE	151	7460788	7311788	3278042	89.66
CaCM334_Pc	Capsicum annuum "CM334"	TDW_2h-2	PE	151	7242400	7101550	3181138	89.59
CaCM334_Pc	Capsicum annuum "CM334"	TDW_2h-3	PE	151	8173192	8015574	3597848	89.77
CaCM334_Pc	Capsicum annuum "CM334"	TDW_4h-1	PE	151	7019244	6897386	3174893	92.06
CaCM334_Pc	Capsicum annuum "CM334"	TDW_4h-2	PE	151	7433260	7304272	3356327	91.9
CaCM334_Pc	Capsicum annuum "CM334"	TDW_4h-3	PE	151	6743834	6640346	3070799	92.49
CaCM334_Pc	Capsicum annuum "CM334"	TDW_6h-1	PE	151	2957356	2911896	1357492	93.24
CaCM334_Pc	Capsicum annuum "CM334"	TDW_6h-2	PE	151	2800780	2753866	1289407	93.64
CaCM334_Pc	Capsicum annuum "CM334"	TDW_6h-3	PE	151	3577496	3518916	1644041	93.44
CaCM334_Pc	Capsicum annuum "CM334"	mc_1D-1	PE	151	5391426	5078124	2278511	89.74
CaCM334_Pc	Capsicum annuum "CM334"	mc_1D-2	PE	151	6626266	6224466	2796140	89.84
CaCM334_Pc	Capsicum annuum "CM334"	mc_1D-3	PE	151	4645026	4371336	1964617	89.89
CaCM334_Pc	Capsicum annuum "CM334"	mc_2D-1	PE	151	4717976	4385924	1908829	87.04
CaCM334_Pc	Capsicum annuum "CM334"	mc_2D-2	PE	151	4908334	4582186	1967446	85.87
CaCM334_Pc	Capsicum annuum "CM334"	mc_2D-3	PE	151	4408652	4103622	1792976	87.39
CaCM334_virus	Capsicum annuum "CM334"	Pep_1D-1	PE	101	9615394	9209652	4384244	95.21
CaCM334_virus	Capsicum annuum "CM334"	Pep_1D-2	PE	101	6527170	6241856	2949739	94.51
CaCM334_virus	Capsicum annuum "CM334"	Pep_1D-3	PE	101	11317304	10845224	5139956	94.79
CaCM334_virus	Capsicum annuum "CM334"	Pep_2D-1	PE	101	17910556	17182664	8108751	94.38
CaCM334_virus	Capsicum annuum "CM334"	Pep_2D-2	PE	101	20351008	19462390	9090227	93.41
CaCM334_virus	Capsicum annuum "CM334"	Pep_2D-3	PE	101	17713856	16885858	7900880	93.58
CaCM334_virus	Capsicum annuum "CM334"	Pep_30m-1	PE	101	13791778	13135018	6214847	94.63
CaCM334_virus	Capsicum annuum "CM334"	Pep_30m-2	PE	101	10402096	9913664	4636608	93.54
CaCM334_virus	Capsicum annuum "CM334"	Pep_30m-3	PE	101	16367114	15637328	7365272	94.2
CaCM334_virus	Capsicum annuum "CM334"	Pep_3D-1	PE	101	16125662	15437292	7240454	93.8
CaCM334_virus	Capsicum annuum "CM334"	Pep_3D-2	PE	101	12212422	11674942	5469615	93.7
CaCM334_virus	Capsicum annuum "CM334"	Pep_3D-3	PE	101	7889628	7546152	3572954	94.7
CaCM334_virus	Capsicum annuum "CM334"	Pep_4h-1	PE	101	6917734	6621280	3115885	94.12
CaCM334_virus	Capsicum annuum "CM334"	Pep_4h-2	PE	101	9867742	9397904	4384442	93.31
CaCM334_virus	Capsicum annuum "CM334"	Pep_4h-3	PE	101	3542450	3390056	1562151	92.16
CaCM334_virus	Capsicum annuum "CM334"	Pep-up-1	PE	101	14530750	13906298	6561748	94.37
CaCM334_Pi	Capsicum annuum "CM334"	Pi_0h-1	PE	101	11857342	11331586	5257680	92.8
CaCM334_Pi	Capsicum annuum "CM334"	Pi_1D-1	PE	101	10548406	10099894	4782198	94.7
CaCM334_Pi	Capsicum annuum "CM334"	Pi_1D-2	PE	101	13931730	13253406	6286726	94.87
